extracted,abstract
"an exponential rise in alzheimer s disease  ad  prevalence rates is predicted to parallel the aging of baby boomers creating a potentially unsustainable economic burden to the healthcare system  
only 23 of the cognitively normal individuals had serum a142 in the lowest quartile compared to the nearly 50 of the diagnostic group  44 of mci subjects and 50 of ad subjects"," we examined the usefulness of brief neuropsychological tests and serum a as a predictive test for detecting mci / ad in older adults . 
 serum a levels were measured from 208 subjects who were cognitively normal at enrollment and blood draw . 
 twenty - eight of the subjects subsequently developed mci ( n = 18 ) or ad ( n = 10 ) over the follow - up period . 
 baseline measures of global cognition , memory , language fluency , and serum a142 and the ratio of serum a142/a140 were significant predictors for future mci / ad using cox regression with demographic variables , apoe 4 , vascular risk factors , and specific medication as covariates . an optimal sensitivity of 85.2% and specificity of 86.5% for predicting mci / ad was achieved using roc analyses . 
 brief neuropsychological tests and measurements of a142 obtained via blood warrants further study as a practical and cost effective method for wide - scale screening for identifying older adults who may be at - risk for pathological cognitive decline . "
," we compared serum polychlorinated dibenzo - p - dioxins ( pcdds ) and polychlorinated dibenzofurans ( pcdfs ) among residents of two homes to levels among age- and sex - matched comparison subjects . 
 the residents of the two homes consumed contaminated eggs and beef from animals raised at the homes . 
 the animals had greater soil contact than those raised with conventional commercial husbandry practices . 
 the comparison subjects were from a similar rural area , but did not consume home - produced beef and eggs . 
 serum levels of 2,3,7 , 8-substituted tetra- , penta- , and hexacdds and penta- , hexa- , and heptacdfs were increased between 2- and 6-fold in residents from one home ; contaminated eggs and beef were consumed by residents for 2 - 15 years . 
 elevations were less for those in the other index home , where only home - produced eggs were consumed for 2 years ; a 3-fold elevation of 1,2,3,7,8,9-hexacdd as compared to controls was most apparent . 
 very strong bivariate correlations among all of the 2,3,7 , 8 penta- and hexacdds / cdfs were observed . 
 the elevations observed verify that pcdd / pcdf - contaminated food contributed to the body burden of these compounds . 
 the blood levels among the highest exposed participants are generally higher than those observed in other studies of u.s . 
 contaminated - fish consumers and higher than average adipose tissue levels observed in u.s . urban populations . 
 there are sufficient animal toxicologic and human epidemiologic data to recommend that exposures be reduced . in the study area , 
 pentachlorophenol and pentachlorophenol incineration sources have been identified , and the animal contamination and blood elevations probably reflect these sources . 
 soil reference values and site - specific risk assessments should include estimates of exposures to contamination in home - produced animal products . 
 such estimates can be verified with limited pcdd / pcdf sampling of animals and humans.imagesfigure 1figure 2 "
the wntcatenin pathway has been implicated in the development and progression of melanoma and a wide range of cancer types  including colorectal cancer  breast cancer  esophageal carcinoma  and liver cancer  13    however  our results show that the expression levels of catenin do not contribute to melanoma initiation and progression since no difference in catenin levels was found between nevi  primary melanoma  and metastatic melanoma  9397 of all samples expressed catenin in  50 of the tumor cells," we have previously demonstrated that rad6 and -catenin enhance each other 's expression through a positive feedback loop to promote breast cancer development / progression . while -catenin has been implicated in melanoma pathogenesis , rad6 function has not been investigated . here 
 , we examined the relationship between rad6 and -catenin in melanoma development and progression . 
 eighty - eight cutaneous tumors 
 , 30 nevi , 29 primary melanoma , and 29 metastatic melanomas , were immunostained with anti--catenin and anti - rad6 antibodies . strong expression of rad6 was observed in only 27% of nevi as compared to 100% of primary and 96% of metastatic melanomas . 
 -catenin was strongly expressed in 97% of primary and 93% of metastatic melanomas , and unlike rad6 , in 93% of nevi . 
 none of the tumors expressed nuclear -catenin . 
 -catenin was exclusively localized on the cell membrane of 55% of primary , 62% of metastatic melanomas , and only 10% of nevi . 
 cytoplasmic -catenin was detected in 90% of nevi , 17% of primary , and 8% of metastatic melanoma , whereas 28% of primary and 30% of metastatic melanomas exhibited -catenin at both locations . 
 these data suggest that melanoma development and progression are associated with rad6 upregulation and membranous redistribution of -catenin and that -catenin and rad6 play independent roles in melanoma development . "
"the guanine heterocyclic 
 ring is rich in chemical reactivity toward 
 oxidants and adduct  forming species  
further  one  electron oxidized dog was observed to have an even lower redox potential than 
 the parent compound dog  which means that once oxidation of dog  and likely 8amino  dg  occurs product formation is inevitable due to 
 the 70 conversion to product that yielded the spirocyclic 
 compounds dsp  5dsi  or 8dsi   

the r and s assignments for the diastereomers 
 of 8dsi are the opposite of those for the dsp and 5dsi isomers with the same geometric configuration 
 of the spirocyclic ring  due to a change in the cahn  ingold 
the diastereotopic ammonia 
 adducts were then probed by electronic 
 circular dichroism spectroscopy  ecd"," upon oxidation of the heterocyclic 
 ring in 2-deoxyguanosine 
 ( dg ) , the initial electrophilic intermediate displays 
 a wide range of reactivities with nucleophiles leading to many downstream 
 products . in the present study , 
 the product profiles were mapped when 
 aqueous solutions of dg were allowed to react with nh4cl in the presence of the photooxidants riboflavin and rose 
 bengal as well as the diffusible one - electron oxidant na2ircl6 . 
 product characterization identified the 2-deoxyribonucleosides 
 of spiroiminodihydantoin , 5-guanidinohydantoin , and oxazolone resulting 
 from h2o as the nucleophile . 
 when nh3 was the 
 nucleophile , a set of constitutional isomers that are diastereotopic 
 were also observed , giving characteristic masses of dg + 31 . 
 esi+-ms / ms of these nh3 adducts identified 
 them to be spirocycles with substitution of either the c5 or c8 carbonyl 
 with an amine . 
 the nh3 adducts exhibit acid - catalyzed hydrolysis 
 to spiroiminodihydantoin . 
 quantification of the nh3 and 
 h2o adducts resulting from oxidation of dg in the nucleoside , single - stranded , and duplex oligodeoxynucleotide 
 contexts were monitored allowing mechanisms for product formation 
 to be proposed . 
 these data also provide a cautionary note to those 
 who purify their oligonucleotide samples with ammonium salts before 
 oxidation because this will lead to unwanted side reactions in which 
 ammonia participates in product formation . "
a review of the literature and an extensive medline search revealed that this is the first case report of the use of guaifenesin to increase sperm motility   additional study of the effects of guaifenesin on male fertility suggests the need to conduct a more rigorous placebo  controlled clinical trial that could yield information of the medication s effects on men with normal or decreased total sperm counts," backgrounda review of the literature and an extensive medline search revealed that this is the first case report of the use of guaifenesin to increase sperm motility.casea 32-year - old male presented for an infertility evaluation . 
 he reported an inability to conceive with his wife after 18 months of unprotected intercourse . 
 a semen analysis was performed that included spermatozoa count , liquefaction , morphology , motility , viscosity and volume . 
 initial results of the semen analysis demonstrated low sperm count and motility . 
 the provider offered treatment with guaifenesin 600 mg extended release tablets twice daily . 
 two months after guaifenesin therapy the semen analysis was repeated that demonstrated marked improvement in both total sperm count and motility.conclusionevidence for the effectiveness of guaifenesin is almost entirely anecdotal . 
 given the mechanism of action of guaifenesin , it is not clear from this case why the patient demonstrated such a large improvement in both sperm count and motility . 
 additional studies of the effects of guaifenesin on male fertility could yield information of the medication s effect on men with normal or decreased total sperm counts . "
"agriculture has been one of the primary economic avenues in the philippines contributing to about 20 to the gross domestic product  gdp   
the results of this study identified pesticide exposure and farming practices of farmers in the largest vegetable producing area in the philippines"," this was a cross - sectional study that investigated pesticide exposure and its risk factors targeting vegetable farmers selected through cluster sampling . 
 the sampling size calculated with p = .05 was 211 vegetable farmers and 37 farms . 
 the mean usage of pesticide was 21.35 liters . 
 risk factors included damaged backpack sprayer ( 34.7% ) , spills on hands ( 31.8% ) , and spraying against the wind ( 58% ) . 
 the top 3 pesticides used were pyrethroid ( 46.4% ) , organophosphates ( 24.2% ) , and carbamates ( 21.3% ) . 
 those who were exposed to fungicides and insecticides also had higher total pesticide exposure . 
 furthermore , a farmer who was a pesticide applicator , mixer , loader , and who had not been given instructions through training was at risk of having higher pesticide exposure . 
 the most prevalent symptoms were headache ( 64.1% ) , muscle pain ( 61.1% ) , cough ( 45.5% ) , weakness ( 42.4% ) , eye pain ( 39.9% ) , chest pain ( 37.4% ) , and eye redness ( 33.8% ) . 
 the data can be used for the formulation of an integrated program on safety and health in the vegetable industry . "
"evans  using a mouse mutant for the lim homeodomain transcription factor  islet1  isl1   demonstrated that an isl1 positive  isl1   population is localised in the secondary heart field  shf   contributing to the outflow tract  right ventricle  atria and  to a small extent  the left ventricle  
di nardo s research group described the concomitant expression of the isl1  c  kit and sca1 markers in adult mouse cardiac progenitor cells in 2008  while in 2009 our research group confirmed the expression of the three markers in adult rat cpcs"," cardiac progenitor cells are multipotent stem cells isolated from both embryonic and adult hearts in several species and are able to differentiate at least into smooth muscle cells , endothelial cells and cardiomyocytes . 
 the embryonic origin of these cells has not yet been demonstrated , but it has been suggested that these cells may derive from the first and secondary heart fields and from the neural crest . in the last decade , 
 two different populations of cardiac progenitor or stem cells have been identified and isolated , i.e. , the islet1 positive ( isl1 + ) and c - kit positive ( c - kit+)/stem cell antigen-1 positive ( sca-1 + ) cells . until 2012 , 
 these two populations have been considered two separate entities with different roles and a different origin , but new evidence now suggests a connection between the two populations and that the two populations may represent two subpopulations of a unique pool of cardiac stem cells , derived from a common immature primitive cell . to find 
 a common consensus on this concept is very important in furthering the application of stem cells to cardiac tissue engineering . "
"primary diffuse leptomeningeal gliomatosis  pdlg  is a rare neoplasm with a short survival time of a few months  
pdlg was diagnosed in the aforementioned case  as we observed on histopathology leptomeningeally  encapsulated malignant astrocytic cells without primary attachment to the spinal cord or brain parenchyma and gd  enhancing leptomeningeal thickening at the base of the brain and spinal level in mri"," objectiveprimary diffuse leptomeningeal gliomatosis ( pdlg ) is a rare neoplasm with a short survival time of a few months . 
 there is currently no standardized therapeutic approach for pdlg.materials and methodswe report on a 53-year - old male patient who presented with epileptic seizures , gait disturbance , paraparesis and sensory deficits in the dermatomes t8-10.resultsmagnetic resonance imaging ( mri ) revealing numerous spinal and cranial gadolinium - enhancing nodules in the meninges and histopathology led us to diagnose primary diffuse leptomeningeal gliomatosis with who grade iii astrocytic cells . 
 consecutively , the patient underwent craniospinal radiotherapy ( 30 gy ) and 11 sequential cycles of temozolomide . 
 this regimen led to partial tumor regression . 
 thirteen months later , spinal mri revealed tumor progression . second - line chemotherapy with 5 cycles of irinotecan and bevacizumab did not prevent further clinical deterioration . 
 the patient died twenty - two months after diagnosis , being the longest survival time described thus far with respect to pdlg consisting of astrocytic tumor cells.conclusionsradiochemotherapy including temozolomide , as established standard therapy for brain malignant astrocytomas , might be valid as a basic therapeutic strategy for this pdlg subtype . "
"in past years  numerous studies have described the role of microalbuminuria  mau  as a predictor of cardiovascular disease  cvd  and death among subjects with type 2 diabetes  t2d  the study conducted by davidson et al15 was designed to evaluate the clinical performance of the immunodip dipstick compared with a reference measure recommended by the ada for detecting mau  albumin  creatinine ratio  30 ug  mg  negative   
30 ug  mg  positive   determined by laboratory techniques  quest hitachi 717 autoanalyzer"," purpose : to investigate to what degree the presence of hypertension ( htn ) and poor glycemic control ( gc ) influences the likelihood of having microalbuminuria ( mau ) among cuban americans with type 2 diabetes ( t2d).methods : a cross - sectional study conducted in cuban americans ( n = 179 ) with t2d . 
 participants were recruited from a randomly generated mailing list purchased from knowledge - base marketing , inc . 
 blood pressure ( bp ) was measured twice and averaged using an adult size cuff . 
 glycosylated hemoglobin ( a1c ) levels were measured from whole blood samples with the roche tina - quant method . 
 first morning urine samples were collected from each participant to determine mau by a semiquantitative assay ( immunodip).results : mau was present in 26% of cuban americans with t2d . 
 a significantly higher percentage of subjects with ma had htn ( p = 0.038 ) and elevated a1c ( p = 0.002 ) than those with normoalbuminuria . 
 logistic regression analysis showed that after controlling for covariates , subjects with poor gc were 6.76 times more likely to have mau if they had hypertension compared with those without hypertension ( p = 0.004 ; 95% confidence interval [ ci ] : 1.83 , 23.05).conclusion : the clinical significance of these findings emphasizes the early detection of mau in this hispanic subgroup combined with bp and good gc , which are fundamentals in preventing and treating diabetes complications and improving individuals renal and cardiovascular outcomes . "
"cancer is the second leading cause of mortality and morbidity in both developed and developing countries  
the nurse has to play an important role in health promotion and it is only possible when she teaches or educates her client"," introduction : breast cancer accounts for 19 - 34% of all cancer cases among women in india . 
 there is high mortality due to late stage diagnosis as patients usually present at an advanced stage because of lack of awareness and nonexistent breast cancer screening programs . 
 early detection and prompt treatment offer the greatest chance of long - term survival and breast self - examination ( bse ) seems to be a important viable optional substitute for early detection of cancer.objectives:1 ) to assess the level of knowledge of degree college female students on bse . 
 2 ) to determine the effectiveness of planned teaching program among degree college female students on bse . 
 3 ) to find the association between pretest knowledge and selected demographic variables.materials and methods : pre - experimental one group pretestpost - test design was carried out among 40 degree female students by using cluster sampling method from selected colleges of udupi district.results:the data analyzed showed that majority ( 52% ) of them was in the age group of 18 - 19 years and 72% of them were had average knowledge on bse in the pretest score . 
 out of 40 participants only one student was performing bse occasionally.conclusions:awareness regarding breast self examination among young generations is useful and it is the most important viable tool for early detection . "
"der p 1 was isolated from house dust mite fecal pellets  allergon  by a multistep procedure 6 involving immunoaffinity chromatography on immobilized anti 
der p 1 mab  clone 4c1  indoor biotechnologies   removal of contaminating serine proteases on immobilized soybean trypsin inhibitor  sigma chemical co 
der p 1 was isolated from house dust mite fecal pellets  allergon  by a multistep procedure 6 involving immunoaffinity chromatography on immobilized anti 
der p 1 mab  clone 4c1  indoor biotechnologies   removal of contaminating serine proteases on immobilized soybean trypsin inhibitor  sigma chemical co"," the house dust mite dermatophagoides pteronyssinus allergen der p 1 is the most immunodominant allergen involved in the expression of dust mite  specific immunoglobulin ( ig)e  mediated hypersensitivity . 
 the reason for this potent ige - eliciting property of der p 1 remains unknown , but there is mounting in vitro evidence linking the allergenicity of der p 1 to its cysteine protease activity . 
 here we demonstrate for the first time that immunization of mice with proteolytically active der p 1 results in a significant enhancement in total ige and der p 1specific ige synthesis compared with animals immunized with der p 1 that was irreversibly blocked with the cysteine protease inhibitor e-64 . 
 we conclude that the proteolytic activity of der p 1 is a major contributor to its allergenicity . "
"given the risk of paralysis associated with cervical transforaminal injection  is it time to reconsider transforaminal injections of the lumbar spine 
arguments for discontinuing lumbar injections have been discussed in the anesthesia literature  raising concern about the risks of epidural steroid injections  esis   
correct needle placement in the left l5s1 neural foramen was verified with epidurography immediately after the injection  the patient felt his legs  going dead   paraplegia of the lower extremities was noted"," backgroundgiven the risk of paralysis associated with cervical transforaminal injection , is it time to reconsider transforaminal injections of the lumbar spine ? 
 arguments for discontinuing lumbar injections have been discussed in the anesthesia literature , raising concern about the risks of epidural steroid injections ( esis).methodsin a 47-year - old man , paraplegia of the lower extremities developed , specifically conus medullaris syndrome , after he underwent an esi for recurrent pain . 
 correct needle placement was verified with epidurography . immediately after the injection , 
 the patient felt his legs  going dead  ; paraplegia of the lower extremities was noted.resultsan initial magnetic resonance imaging study performed after the patient was transferred to the emergency department was unremarkable . 
 however , a later neurosurgical evaluation showed conus medullaris syndrome , and a second magnetic resonance imaging study showed the conus infarct . 
 we conducted a search of the pubmed database of articles from 2002 to 2011 containing the following keywords : complications , lumbar epidural steroid injection(s ) , cauda equina syndrome , conus medullaris infarction , spinal cord infarction , spinal cord injury , paralysis , paresis , plegia , paresthesia , and anesthesia.conclusionssummarizing this case and 5 similar cases , we weigh the potential benefits and risks of esi . although one can safely assume that this severe , devastating complication is rare , we speculate that its true incidence remains unknown , possibly because of medicolegal implications . 
 we believe that the rarity of this complication should not preclude the continued use of transforaminal esi ; rather , it should be emphasized for discussion with patients during the consent process . "
